wedge,makepatch_call_count,deletepatch_call_count
0,42,28
1,62,48
2,82,67
3,52,33
4,75,58
5,96,77
6,98,78
7,68,46
8,98,78
9,117,93
10,99,81
11,52,32
12,69,51
13,80,63
14,48,25
15,107,88
16,101,81
17,108,85
18,67,53
19,79,65
20,76,57
21,51,36
22,60,44
23,106,89
24,87,69
25,93,77
26,75,57
27,68,50
28,70,52
29,136,116
30,65,48
31,92,75
32,104,83
33,71,55
34,88,71
35,75,57
36,112,90
37,67,50
38,68,51
39,74,57
40,105,86
41,111,94
42,128,98
43,125,104
44,96,75
45,84,65
46,136,117
47,85,67
48,55,36
49,63,44
50,53,35
51,119,94
52,77,58
53,111,91
54,90,66
55,70,54
56,121,102
57,68,51
58,92,76
59,69,52
60,75,60
61,70,54
62,81,65
63,68,49
64,63,47
65,107,89
66,82,68
67,93,75
68,107,87
69,72,56
70,47,31
71,65,51
72,65,45
73,96,76
74,48,33
75,91,73
76,57,39
77,75,53
78,86,69
79,72,57
80,107,91
81,52,34
82,63,45
83,95,80
84,61,47
85,49,34
86,89,76
87,97,78
88,55,40
89,83,66
90,88,70
91,110,89
92,89,68
93,32,15
94,41,26
95,88,71
96,39,27
97,56,44
98,110,95
99,81,64
100,93,73
101,102,85
102,69,53
103,97,76
104,101,80
105,43,27
106,101,75
107,96,68
108,89,71
109,127,106
110,110,89
111,61,42
112,70,50
113,92,75
114,78,59
115,102,80
116,91,69
117,111,89
118,83,62
119,58,41
120,100,79
121,121,100
122,89,69
123,81,57
124,116,95
125,61,42
126,49,29
127,101,83
128,48,34
129,65,51
130,57,43
131,55,43
132,53,41
133,57,44
134,52,40
135,44,33
136,65,50
137,55,41
138,75,62
139,86,71
140,37,23
141,23,9
142,75,57
143,18,7
144,48,33
145,74,56
146,59,41
147,52,37
148,51,35
149,43,28
150,50,36
151,120,103
152,99,85
153,23,10
154,79,61
155,60,44
156,48,33
157,65,50
158,54,38
159,82,68
160,51,32
161,72,54
162,64,45
163,56,38
164,80,64
165,112,92
166,99,84
167,54,40
168,79,57
169,48,33
170,88,71
171,114,93
172,65,50
173,62,45
174,65,46
175,64,48
176,99,82
177,41,28
178,60,46
179,68,52
180,31,19
181,78,64
182,82,65
183,39,25
184,79,62
185,56,45
186,60,45
187,104,88
188,81,65
189,35,22
190,42,22
191,89,73
192,63,47
193,60,42
194,56,44
195,38,21
196,64,50
197,56,45
198,40,25
199,48,31
200,49,34
201,62,45
202,58,42
203,53,39
204,40,26
205,92,73
206,39,17
207,54,37
208,39,24
209,40,25
210,51,36
211,94,77
212,69,52
213,47,32
214,81,63
215,75,58
216,65,47
217,67,50
218,71,54
219,50,30
220,52,39
221,46,30
222,83,69
223,95,80
224,57,39
225,70,53
226,91,71
227,72,54
228,92,77
229,64,47
230,82,65
231,93,75
232,22,5
233,97,78
234,55,37
235,64,47
236,40,26
237,81,65
238,36,22
239,75,63
240,83,62
241,51,34
242,84,67
243,71,55
244,68,49
245,70,56
246,46,34
247,96,80
248,24,14
249,29,18
250,45,32
251,82,69
252,37,25
253,58,46
254,58,45
255,84,70
256,46,32
257,97,77
258,119,97
259,88,66
260,106,84
261,87,71
262,76,57
263,90,74
264,72,55
265,69,55
266,77,58
267,80,64
268,61,44
269,54,38
270,46,24
271,91,75
272,92,74
273,104,87
274,67,52
275,41,24
276,85,68
277,66,53
278,75,60
279,26,14
280,25,14
281,49,37
282,52,39
283,57,44
284,34,18
285,85,69
286,57,41
287,46,33
288,74,59
289,45,30
290,64,50
291,26,12
292,24,7
293,74,60
294,58,41
295,86,66
296,60,43
297,98,82
298,73,56
299,50,33
300,48,31
301,29,16
302,47,35
303,37,25
304,61,47
305,66,50
306,88,69
307,70,51
308,73,57
309,92,68
310,88,67
311,67,47
312,95,78
313,56,38
314,28,10
315,55,40
316,63,50
317,66,51
318,73,47
319,65,46
320,61,42
321,51,32
322,108,85
323,86,64
324,81,62
325,94,71
326,47,31
327,60,43
328,101,80
329,73,57
330,93,77
331,57,40
332,50,34
333,48,32
334,44,23
335,29,13
336,75,55
337,64,48
338,41,24
339,82,66
340,88,71
341,80,66
342,55,38
343,47,32
344,29,15
345,51,35
346,44,30
347,56,39
348,73,57
349,97,79
350,37,23
351,47,32
352,110,90
353,33,20
354,36,20
355,29,13
356,78,62
357,48,33
358,50,36
359,102,83
360,64,51
361,57,44
362,97,79
363,40,24
364,84,61
365,63,45
366,51,34
367,77,63
368,62,47
369,93,76
370,134,114
371,63,43
372,55,35
373,56,35
374,100,82
375,37,15
376,88,73
377,68,53
378,46,29
379,53,39
380,72,53
381,50,31
382,101,82
383,70,54
384,27,17
385,69,52
386,29,12
387,98,85
388,59,45
389,91,78
390,43,26
391,65,45
392,73,52
393,87,68
394,74,54
395,93,73
396,46,27
397,61,45
398,72,55
399,69,52
400,46,29
401,32,19
402,71,59
403,38,23
404,69,52
405,52,36
406,43,32
407,56,39
408,67,50
409,90,73
410,49,33
411,74,57
412,97,74
413,114,95
414,71,53
415,67,49
416,79,64
417,83,67
418,115,93
419,131,101
420,101,84
421,87,66
422,78,60
423,61,41
424,30,17
425,115,96
426,76,58
427,39,25
428,73,55
429,46,29
430,53,37
431,131,111
432,78,58
433,72,58
434,37,23
435,60,44
436,90,74
437,85,69
438,73,55
439,67,48
440,75,62
441,79,63
442,41,22
443,70,55
444,85,67
445,53,36
446,65,49
447,64,49
448,86,64
449,88,75
450,37,19
451,66,50
452,68,55
453,85,67
454,49,30
455,103,80
456,109,90
457,75,53
458,129,105
459,69,53
460,54,38
461,84,67
462,78,64
463,78,57
464,60,42
465,88,72
466,57,43
467,59,41
468,105,87
469,27,12
470,67,54
471,66,51
472,48,33
473,44,27
474,87,67
475,58,41
476,75,51
477,91,70
478,102,79
479,109,88
480,73,53
481,78,60
482,38,20
483,115,91
484,76,61
485,89,71
486,58,43
487,64,49
488,42,28
489,83,66
490,58,40
491,84,68
492,92,72
493,70,54
494,75,56
495,76,57
496,102,85
497,94,78
498,61,47
499,80,63
500,117,99
501,39,23
502,60,43
503,112,94
504,63,46
505,86,68
506,90,72
507,81,64
508,67,47
509,87,69
510,84,62
511,85,65
512,11,0
513,93,79
514,68,49
515,93,76
516,85,66
517,78,56
518,119,101
519,126,110
520,66,47
521,79,59
522,105,87
523,32,15
524,65,49
525,67,51
526,92,76
527,50,36
528,93,75
529,45,29
530,53,33
531,69,51
532,48,31
533,116,99
534,66,51
535,64,46
536,86,71
537,55,39
538,78,64
539,62,42
540,104,83
541,96,77
542,85,65
543,80,66
544,74,55
545,36,23
546,80,63
547,102,82
548,112,93
549,71,52
550,61,45
551,101,85
552,109,90
553,98,79
554,56,39
555,74,55
556,31,17
557,43,28
558,109,92
559,99,81
560,77,60
561,78,57
562,62,47
563,84,69
564,50,37
565,20,10
566,56,44
567,45,33
568,78,64
569,54,40
570,59,47
571,65,52
572,82,66
573,82,66
574,61,46
575,60,46
576,81,64
577,83,66
578,78,62
579,57,44
580,104,88
581,49,33
582,87,71
583,76,57
584,51,35
585,88,73
586,102,83
587,86,68
588,87,73
589,68,54
590,53,36
591,69,56
592,79,66
593,73,60
594,90,75
595,63,49
596,40,26
597,73,56
598,89,69
599,104,86
600,52,35
601,105,89
602,64,48
603,101,80
604,65,47
605,54,37
606,75,62
607,69,57
608,58,44
609,39,24
610,77,62
611,88,69
612,58,37
613,80,62
614,56,42
615,60,42
616,92,73
617,42,29
618,42,29
619,71,58
620,88,71
621,54,37
622,84,68
623,88,70
624,68,51
625,73,55
626,83,63
627,83,61
628,47,32
629,59,41
630,77,62
631,77,61
632,56,40
633,49,36
634,57,43
635,61,49
636,25,8
637,48,33
638,65,55
639,39,24
640,33,23
641,85,69
642,28,13
643,77,63
644,52,37
645,69,54
646,72,54
647,62,49
648,77,63
649,58,45
650,55,42
651,81,66
652,91,77
653,47,33
654,45,31
655,49,38
656,76,61
657,78,65
658,34,15
659,50,32
660,48,31
661,76,57
662,79,63
663,74,57
664,69,52
665,63,45
666,65,49
667,71,56
668,55,41
669,70,54
670,81,66
671,67,54
672,87,74
673,52,37
674,60,44
675,79,60
676,42,27
677,55,37
678,91,79
679,53,38
680,37,25
681,52,36
682,84,68
683,60,44
684,54,41
685,71,57
686,72,57
687,47,31
688,16,0
689,61,45
690,96,78
691,73,57
692,37,23
693,109,91
694,82,65
695,104,86
696,39,26
697,70,55
698,51,35
699,32,15
700,47,35
701,80,64
702,61,43
703,61,44
704,86,72
705,40,22
706,76,62
707,68,54
708,30,16
709,39,26
710,69,55
711,35,22
712,62,50
713,75,58
714,80,60
715,66,48
716,113,99
717,69,55
718,24,8
719,71,53
720,57,38
721,78,63
722,101,81
723,87,69
724,84,68
725,76,56
726,66,49
727,67,46
728,69,53
729,151,135
730,81,61
731,48,33
732,43,27
733,74,57
734,69,48
735,82,63
736,72,52
737,124,105
738,81,60
739,88,66
740,70,52
741,67,45
742,50,33
743,48,29
744,32,16
745,64,49
746,61,44
747,57,43
748,60,46
749,56,44
750,58,47
751,55,43
752,48,34
753,27,14
754,26,16
755,73,56
756,91,76
757,74,57
758,65,49
759,58,43
760,54,39
761,76,57
762,50,32
763,48,32
764,28,14
765,65,50
766,79,61
767,52,37
768,66,52
769,50,33
770,67,48
771,67,49
772,73,52
773,46,33
774,26,7
775,69,53
776,154,130
777,44,28
778,127,109
779,71,51
780,52,34
781,93,72
782,68,44
783,64,40
784,111,87
785,136,117
786,48,31
787,111,89
788,54,36
789,93,74
790,57,40
791,49,34
792,69,55
793,91,77
794,76,58
795,123,99
796,77,57
797,126,106
798,67,47
799,97,81
800,76,58
801,98,81
802,61,44
803,43,25
804,51,35
805,83,68
806,44,27
807,74,56
808,72,55
809,81,59
810,95,77
811,65,50
812,65,52
813,33,15
814,60,43
815,107,89
816,92,74
817,57,42
818,62,46
819,57,43
820,74,60
821,102,86
822,33,18
823,97,79
824,73,51
825,54,37
826,39,25
827,60,47
828,142,123
829,79,64
830,77,63
831,63,44
832,90,70
833,87,67
834,89,68
835,113,92
836,51,33
837,89,69
838,50,27
839,60,39
840,80,59
841,65,48
842,101,84
843,45,26
844,113,95
845,99,77
846,87,59
847,63,44
848,83,62
849,101,82
850,41,26
851,79,61
852,72,51
853,87,69
854,61,42
855,109,89
856,118,101
857,45,24
858,55,39
859,63,43
860,82,62
861,103,81
862,103,83
863,89,71
864,67,50
865,82,67
866,63,48
867,86,71
868,71,54
869,75,60
870,48,30
871,66,52
872,63,42
873,89,70
874,84,66
875,40,26
876,46,32
877,41,28
878,72,57
879,40,26
880,69,54
881,83,66
882,61,44
883,94,73
884,77,58
885,82,65
886,46,25
887,123,102
888,75,58
889,28,7
890,61,44
891,102,86
892,99,77
893,73,56
894,59,42
895,83,65
896,51,40
897,58,43
898,52,35
899,57,40
900,79,62
901,54,35
902,33,18
903,67,53
904,71,52
905,90,74
906,85,69
907,44,29
908,53,36
909,88,71
910,79,63
911,63,46
912,63,47
913,31,14
914,72,56
915,110,92
916,71,51
917,93,69
918,102,79
919,90,74
920,89,72
921,81,66
922,34,19
923,54,38
924,76,58
925,26,14
926,52,35
927,49,30
928,80,62
929,27,11
930,41,28
931,42,29
932,55,40
933,26,15
934,73,59
935,29,18
936,37,26
937,32,19
938,74,62
939,50,37
940,39,25
941,69,54
942,52,40
943,49,31
944,77,64
945,52,34
946,53,35
947,71,55
948,54,39
949,57,46
950,45,31
951,51,38
952,67,53
953,58,44
954,92,75
955,58,43
956,29,17
957,66,51
958,72,57
959,32,19
960,50,37
961,63,48
962,79,66
963,34,20
964,49,36
965,63,46
966,69,49
967,69,59
968,60,48
969,52,37
970,74,58
971,66,47
972,84,68
973,92,76
974,110,88
975,70,53
976,56,42
977,85,68
978,57,40
979,87,68
980,71,56
981,71,55
982,61,42
983,63,46
984,55,41
985,46,32
986,69,54
987,47,32
988,90,73
989,60,41
990,101,83
991,70,57
992,69,54
993,68,52
994,56,39
995,64,52
996,56,41
997,63,48
998,80,64
999,25,7
1000,75,55
1001,66,47
1002,73,53
1003,64,48
1004,48,33
1005,84,66
1006,115,94
1007,78,62
1008,92,76
1009,42,27
1010,87,68
1011,66,48
1012,108,90
1013,58,45
1014,75,62
1015,41,25
1016,66,50
1017,73,59
1018,73,58
1019,93,74
1020,49,34
1021,66,54
1022,35,22
1023,67,51
1024,36,26
1025,32,21
1026,24,11
1027,40,27
1028,40,28
1029,83,71
1030,63,49
1031,44,33
1032,39,26
1033,69,56
1034,38,24
1035,56,41
1036,61,48
1037,55,39
1038,75,60
1039,57,42
1040,74,62
1041,91,76
1042,83,67
1043,79,63
1044,73,53
1045,76,60
1046,76,60
1047,67,50
1048,77,64
1049,43,29
1050,50,36
1051,80,65
1052,103,87
1053,64,40
1054,69,48
1055,106,84
1056,72,53
1057,108,87
1058,68,45
1059,98,79
1060,45,29
1061,52,38
1062,74,59
1063,50,31
1064,76,57
1065,56,44
1066,63,47
1067,74,58
1068,69,53
1069,74,56
1070,47,32
1071,57,41
1072,63,50
1073,37,23
1074,59,42
1075,56,39
1076,74,59
1077,49,32
1078,49,33
1079,43,31
1080,66,53
1081,78,65
1082,83,66
1083,45,29
1084,44,26
1085,76,61
1086,52,35
1087,29,15
1088,60,47
1089,39,21
1090,53,41
1091,84,68
1092,39,25
1093,47,30
1094,65,45
1095,58,45
1096,36,22
1097,56,42
1098,52,40
1099,30,17
1100,65,52
1101,81,66
1102,29,16
1103,35,19
1104,85,74
1105,31,18
1106,51,33
1107,61,43
1108,87,73
1109,49,37
1110,53,36
1111,65,49
1112,68,49
1113,86,70
1114,80,62
1115,67,52
1116,75,56
1117,56,37
1118,96,76
1119,63,44
1120,76,55
1121,97,78
1122,55,38
1123,70,55
1124,102,84
1125,106,89
1126,72,51
1127,92,68
1128,100,74
1129,59,41
1130,62,46
1131,99,81
1132,89,70
1133,112,94
1134,106,82
1135,119,98
1136,57,39
1137,117,96
1138,88,66
1139,64,46
1140,38,20
1141,110,90
1142,82,64
1143,55,40
1144,79,58
1145,80,64
1146,44,30
1147,56,39
1148,65,48
1149,88,69
1150,67,54
1151,51,37
1152,16,6
1153,46,28
1154,68,49
1155,47,32
1156,91,70
1157,69,55
1158,61,43
1159,60,43
1160,81,61
1161,47,27
1162,71,47
1163,118,97
1164,79,63
1165,57,39
1166,83,65
1167,108,87
1168,85,62
1169,62,43
1170,99,77
1171,119,100
1172,100,84
1173,86,67
1174,74,55
1175,78,60
1176,62,41
1177,33,18
1178,97,81
1179,121,101
1180,43,28
1181,59,46
1182,68,48
1183,51,35
1184,85,68
1185,70,57
1186,59,45
1187,67,55
1188,44,30
1189,70,51
1190,50,34
1191,89,74
1192,103,84
1193,76,56
1194,115,95
1195,101,79
1196,112,93
1197,88,69
1198,82,67
1199,74,56
1200,58,42
1201,81,63
1202,63,45
1203,56,45
1204,63,50
1205,41,25
1206,85,72
1207,80,62
1208,77,55
1209,100,83
1210,42,24
1211,67,45
1212,137,118
1213,71,54
1214,44,27
1215,76,57
1216,57,35
1217,92,73
1218,100,79
1219,93,76
1220,87,66
1221,53,32
1222,95,79
1223,56,36
1224,84,65
1225,63,44
1226,45,22
1227,73,51
1228,46,28
1229,94,71
1230,56,36
1231,71,52
1232,64,41
1233,95,78
1234,71,53
1235,77,62
1236,74,58
1237,53,38
1238,46,30
1239,85,67
1240,76,54
1241,101,83
1242,103,83
1243,66,48
1244,73,52
1245,79,54
1246,94,71
1247,45,24
1248,69,49
1249,48,35
1250,71,53
1251,83,67
1252,35,18
1253,38,23
1254,49,36
1255,59,44
1256,69,51
1257,72,58
1258,37,23
1259,92,75
1260,75,60
1261,90,75
1262,61,44
1263,42,23
1264,66,52
1265,84,62
1266,50,34
1267,91,80
1268,46,31
1269,79,67
1270,69,53
1271,73,58
1272,80,61
1273,106,89
1274,73,55
1275,75,57
1276,52,33
1277,95,77
1278,47,26
1279,56,32
1280,84,72
1281,62,46
1282,82,66
1283,135,115
1284,102,82
1285,125,108
1286,66,46
1287,81,59
1288,122,103
1289,81,61
1290,64,50
1291,75,59
1292,52,35
1293,60,46
1294,74,60
1295,54,40
1296,60,42
1297,54,39
1298,94,77
1299,55,38
1300,94,81
1301,74,59
1302,49,36
1303,21,10
1304,70,56
1305,59,47
1306,84,70
1307,50,36
1308,44,32
1309,59,46
1310,24,8
1311,73,55
1312,107,89
1313,79,61
1314,22,8
1315,75,55
1316,75,58
1317,98,81
1318,54,38
1319,78,59
1320,35,18
1321,79,61
1322,65,50
1323,76,58
1324,121,103
1325,103,83
1326,117,95
1327,97,81
1328,82,64
1329,49,31
1330,51,35
1331,41,29
1332,47,30
1333,60,46
1334,79,59
1335,68,49
1336,55,38
1337,47,30
1338,69,52
1339,91,72
1340,77,59
1341,43,28
1342,99,77
1343,88,70
1344,93,74
1345,77,59
1346,89,72
1347,98,79
1348,69,51
1349,95,77
1350,50,35
1351,79,61
1352,113,96
1353,148,129
1354,53,36
1355,63,46
1356,86,67
1357,43,27
1358,80,64
1359,89,69
1360,43,29
1361,74,58
1362,53,41
1363,85,72
1364,39,26
1365,37,22
1366,17,6
1367,47,30
1368,67,55
1369,43,28
1370,14,0
1371,80,66
1372,38,27
1373,63,48
1374,33,20
1375,61,48
1376,48,35
1377,30,17
1378,58,44
1379,58,42
1380,77,57
1381,121,100
1382,55,34
1383,105,84
1384,70,51
1385,81,66
1386,67,52
1387,80,67
1388,92,76
1389,81,62
1390,43,26
1391,87,75
1392,58,45
1393,76,61
1394,51,35
1395,72,56
1396,52,36
1397,55,40
1398,27,9
1399,83,67
1400,79,65
1401,50,36
1402,56,44
1403,48,33
1404,45,35
1405,64,52
1406,80,65
1407,80,66
1408,66,54
1409,61,42
1410,83,67
1411,50,33
1412,44,26
1413,70,53
1414,27,12
1415,56,41
1416,37,23
1417,84,68
1418,75,61
1419,69,51
1420,52,34
1421,172,151
1422,81,67
1423,79,62
1424,59,38
1425,31,16
1426,97,77
1427,68,52
1428,65,45
1429,89,70
1430,99,80
1431,114,94
1432,138,116
1433,67,47
1434,70,57
1435,70,54
1436,23,7
1437,63,49
1438,54,38
1439,82,64
1440,70,56
1441,54,38
1442,60,44
1443,77,60
1444,54,36
1445,77,64
1446,49,33
1447,73,59
1448,86,71
1449,53,39
1450,57,40
1451,80,63
1452,72,53
1453,67,45
1454,102,85
1455,119,100
1456,51,38
1457,61,41
1458,60,43
1459,75,55
1460,65,51
1461,61,45
1462,55,41
1463,64,50
1464,69,52
1465,49,34
1466,53,33
1467,43,27
1468,72,52
1469,76,56
1470,62,45
1471,48,34
1472,75,61
1473,77,59
1474,55,39
1475,85,70
1476,71,55
1477,64,50
1478,39,19
1479,73,56
1480,46,31
1481,88,68
1482,140,119
1483,112,88
1484,109,88
1485,120,98
1486,96,79
1487,92,75
1488,44,21
1489,94,73
1490,100,85
1491,86,70
1492,64,44
1493,101,81
1494,83,66
1495,94,74
1496,74,58
1497,73,55
1498,63,48
1499,67,48
1500,70,53
1501,69,53
1502,68,49
1503,128,108
1504,60,42
1505,69,50
1506,95,80
1507,119,102
1508,88,71
1509,51,34
1510,55,39
1511,66,51
1512,49,38
1513,56,42
1514,68,53
1515,74,58
1516,76,56
1517,80,63
1518,53,39
1519,61,38
1520,97,77
1521,73,53
1522,55,39
1523,48,32
1524,86,70
1525,91,77
