event_no,layer_num,0
4632,5.0,134
2260,5.0,129
1279,5.0,127
14,5.0,127
2632,3.0,126
2472,5.0,126
78,5.0,126
2259,5.0,126
1577,4.0,125
4652,3.0,125
1886,3.0,124
2296,5.0,124
1652,3.0,124
4761,5.0,124
1822,3.0,123
1867,5.0,123
2425,4.0,123
4394,3.0,123
1602,4.0,122
2484,5.0,122
2630,5.0,122
5404,5.0,122
4037,5.0,122
1803,5.0,122
6316,5.0,121
4179,5.0,120
5661,3.0,120
2706,5.0,120
1574,5.0,120
3616,5.0,120
4825,5.0,120
5797,4.0,120
4834,4.0,120
1601,3.0,120
4878,4.0,119
6229,5.0,119
51,4.0,119
6165,5.0,119
77,5.0,118
2309,3.0,118
6225,2.0,118
1997,4.0,118
5435,3.0,118
1641,4.0,118
1644,4.0,118
5218,5.0,117
1127,5.0,117
5402,5.0,117
1599,5.0,117
2278,5.0,117
2361,4.0,117
4108,4.0,117
2029,3.0,117
2460,3.0,117
3622,4.0,117
2229,4.0,117
1998,5.0,117
2360,4.0,116
2057,3.0,116
4115,5.0,116
4250,5.0,116
3431,5.0,116
1538,4.0,116
4708,3.0,116
1631,4.0,116
5311,5.0,116
4385,4.0,116
845,5.0,115
442,5.0,115
1964,4.0,115
2486,4.0,115
2426,4.0,115
5273,5.0,115
1128,5.0,115
4853,3.0,115
970,4.0,115
1889,5.0,115
3578,3.0,115
798,4.0,115
559,4.0,115
5154,5.0,114
2074,5.0,114
1160,5.0,114
1648,5.0,114
3928,4.0,114
5965,4.0,114
5557,5.0,114
417,3.0,114
2951,5.0,114
2232,5.0,114
4273,4.0,114
6193,5.0,114
738,3.0,114
5828,3.0,114
3010,5.0,114
5153,5.0,114
3001,5.0,114
3471,5.0,114
915,4.0,114
115,4.0,114
3564,5.0,114
5147,3.0,114
206,5.0,114
2312,5.0,113
5361,3.0,113
1892,4.0,113
1553,5.0,113
5369,3.0,113
4044,3.0,113
2930,4.0,113
3257,5.0,113
5367,5.0,113
4804,5.0,113
5281,5.0,113
2826,3.0,113
4656,4.0,113
264,5.0,113
2971,5.0,112
6224,3.0,112
4362,5.0,112
75,4.0,112
5305,3.0,112
4248,4.0,112
774,5.0,112
4245,5.0,112
1741,4.0,112
3680,5.0,112
4104,5.0,112
1745,5.0,112
4116,4.0,112
4117,3.0,112
5456,4.0,112
1177,4.0,112
4121,5.0,112
4228,5.0,112
1134,3.0,112
2121,3.0,112
3621,4.0,112
3678,4.0,112
3360,3.0,112
5144,4.0,112
1089,4.0,112
1548,4.0,112
892,3.0,111
1788,4.0,111
2424,4.0,111
5283,4.0,111
371,4.0,111
3685,4.0,111
2909,4.0,111
13,5.0,111
4770,4.0,111
2967,5.0,111
15,4.0,111
2307,5.0,111
5937,4.0,111
1955,4.0,111
3491,4.0,111
3420,5.0,111
4727,3.0,111
3918,5.0,111
2945,4.0,111
3343,5.0,111
5320,5.0,111
2217,5.0,111
5406,3.0,111
2885,4.0,111
2300,5.0,111
2629,5.0,111
298,5.0,111
3000,4.0,111
781,5.0,111
1424,5.0,111
412,3.0,111
5624,5.0,111
36,5.0,111
2299,4.0,111
4392,4.0,111
4711,5.0,110
4827,3.0,110
1503,5.0,110
314,5.0,110
5618,3.0,110
1830,4.0,110
5124,5.0,110
3614,4.0,110
5563,4.0,110
5555,4.0,110
2228,3.0,110
4942,4.0,110
4180,4.0,110
5832,5.0,110
3401,3.0,110
5531,5.0,110
2235,5.0,110
1135,3.0,110
2268,5.0,110
4728,4.0,110
5375,5.0,110
2295,4.0,110
2037,4.0,110
2314,4.0,110
3500,5.0,110
1226,2.0,110
3529,4.0,110
5362,3.0,110
5591,3.0,110
3570,5.0,110
2422,3.0,110
2359,5.0,110
3681,3.0,110
623,4.0,110
5196,4.0,110
2968,5.0,110
2946,4.0,110
2887,5.0,110
5189,5.0,110
2707,5.0,110
530,5.0,110
2776,4.0,110
659,5.0,110
4659,5.0,110
603,4.0,109
1227,3.0,109
6320,4.0,109
2028,4.0,109
5405,4.0,109
1598,4.0,109
5761,5.0,109
2481,4.0,109
1998,3.0,109
1995,3.0,109
3530,5.0,109
3141,5.0,109
2148,5.0,109
1969,5.0,109
4073,5.0,109
5360,4.0,109
739,3.0,109
3575,4.0,109
375,5.0,109
5256,5.0,109
4426,5.0,109
3938,4.0,109
1421,3.0,109
1663,5.0,109
1608,5.0,109
1195,2.0,109
1584,5.0,109
2196,5.0,109
2364,3.0,109
3240,5.0,109
908,3.0,109
2263,4.0,109
4969,4.0,109
5796,4.0,109
1570,5.0,109
2298,4.0,109
3338,3.0,109
1578,3.0,109
2191,2.0,109
4344,5.0,109
5217,5.0,109
5778,5.0,109
2178,4.0,109
2238,5.0,109
2299,5.0,108
2824,5.0,108
5913,4.0,108
5146,3.0,108
2960,5.0,108
1828,4.0,108
2294,3.0,108
3686,4.0,108
1825,5.0,108
5291,5.0,108
1873,2.0,108
4341,5.0,108
2320,2.0,108
5096,3.0,108
5291,3.0,108
2616,5.0,108
780,4.0,108
6327,3.0,108
5437,4.0,108
5727,5.0,108
3094,4.0,108
1272,4.0,108
1887,4.0,108
115,5.0,108
2732,5.0,108
2423,5.0,108
2107,4.0,108
4586,4.0,108
1140,3.0,108
4109,3.0,108
5726,4.0,108
93,5.0,108
517,4.0,108
3501,5.0,108
3502,4.0,108
4574,5.0,108
2220,3.0,108
2253,3.0,108
1244,3.0,108
1263,5.0,108
1105,5.0,108
1277,4.0,108
1287,3.0,108
3573,5.0,108
446,4.0,108
3581,4.0,108
2871,2.0,108
42,2.0,108
1553,4.0,108
3015,4.0,108
1561,5.0,108
2864,3.0,108
736,4.0,108
5712,4.0,108
2691,2.0,108
508,5.0,108
4696,5.0,108
5718,4.0,108
1478,5.0,108
1537,5.0,108
598,3.0,107
4105,4.0,107
3501,4.0,107
203,4.0,107
1973,4.0,107
4110,3.0,107
5104,4.0,107
2511,5.0,107
5041,4.0,107
3184,3.0,107
5168,5.0,107
1930,4.0,107
3032,5.0,107
4479,5.0,107
4408,4.0,107
5620,5.0,107
79,5.0,107
78,4.0,107
5270,3.0,107
472,5.0,107
2425,5.0,107
3190,5.0,107
